scs_id_x,fixed_pv,emis_policy,variable,value
prm15_wcost_re9_c2p1_t1,0,0,tot_diff,-6.006402681627037
prm15_wcost_re17_c2p1_t1,1,0,tot_diff,-8.92622090548059
prm15_wcost_re18_c2p1_t1,1,0,tot_diff,-9.114733335602182
prm15_wcost_re19_c2p1_t1,1,0,tot_diff,-9.243473682297235
prm15_wcost_re1_c2p1_t1,0,0,tot_diff,-8.16041108250414
prm15_wcost_re20_c2p1_t1,1,0,tot_diff,-8.74908812172822
prm15_wcost_re2_c2p1_t1,0,0,tot_diff,-6.185305644905895
prm15_wcost_re3_c2p1_t1,0,0,tot_diff,-6.068648276801639
prm15_wcost_re4_c2p1_t1,0,0,tot_diff,-6.065899139575322
prm15_wcost_re5_c2p1_t1,0,0,tot_diff,-6.291449968409154
prm15_wcost_re6_c2p1_t1,0,0,tot_diff,-6.562771723101605
prm15_wcost_re7_c2p1_t1,0,0,tot_diff,-6.376583823752526
prm15_wcost_re8_c2p1_t1,0,0,tot_diff,-6.007679291313309
prm15_wcost_re10_c2p1_t1,0,0,tot_diff,-6.89137486844669
prm15_wcost_re16_c2p1_t1,1,0,tot_diff,-8.91826811365496
prm15_wcost_re11_c2p1_t1,1,0,tot_diff,-8.80863185977222
prm15_wcost_re12_c2p1_t1,1,0,tot_diff,-8.998408804545932
prm15_wcost_re13_c2p1_t1,1,0,tot_diff,-9.267803934502467
prm15_wcost_re14_c2p1_t1,1,0,tot_diff,-9.06602524432543
prm15_wcost_re15_c2p1_t1,1,0,tot_diff,-9.009284825764269
prm15_wcost_re19_c2p1_co2_cut90p_t1,1,1,tot_diff,-18.31795048293452
prm15_wcost_re1_c2p1_co2_cut90p_t1,0,1,tot_diff,-12.948324820150788
prm15_wcost_re20_c2p1_co2_cut90p_t1,1,1,tot_diff,-13.775513124029942
prm15_wcost_re2_c2p1_co2_cut90p_t1,0,1,tot_diff,-15.255811962138864
prm15_wcost_re3_c2p1_co2_cut90p_t1,0,1,tot_diff,-16.38206343215961
prm15_wcost_re18_c2p1_co2_cut90p_t1,1,1,tot_diff,-18.06725889847405
prm15_wcost_re5_c2p1_co2_cut90p_t1,0,1,tot_diff,-14.69451679267047
prm15_wcost_re6_c2p1_co2_cut90p_t1,0,1,tot_diff,-13.501860039640917
prm15_wcost_re7_c2p1_co2_cut90p_t1,0,1,tot_diff,-14.482292512633364
prm15_wcost_re8_c2p1_co2_cut90p_t1,0,1,tot_diff,-15.931144864139014
prm15_wcost_re9_c2p1_co2_cut90p_t1,0,1,tot_diff,-16.220702259555424
prm15_wcost_re4_c2p1_co2_cut90p_t1,0,1,tot_diff,-15.467268503854314
prm15_wcost_re17_c2p1_co2_cut90p_t1,1,1,tot_diff,-16.26822451020206
prm15_wcost_re16_c2p1_co2_cut90p_t1,1,1,tot_diff,-15.028262304005068
prm15_wcost_re10_c2p1_co2_cut90p_t1,0,1,tot_diff,-12.59447696215534
prm15_wcost_re11_c2p1_co2_cut90p_t1,1,1,tot_diff,-14.215534647023674
prm15_wcost_re12_c2p1_co2_cut90p_t1,1,1,tot_diff,-17.11425293525099
prm15_wcost_re13_c2p1_co2_cut90p_t1,1,1,tot_diff,-18.726544439905865
prm15_wcost_re14_c2p1_co2_cut90p_t1,1,1,tot_diff,-17.507010747091613
prm15_wcost_re15_c2p1_co2_cut90p_t1,1,1,tot_diff,-16.5986936429332
