period,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs,total_gw,total_new_gw,gas_new_share,hydro_new_share,solar_new_share,wind_new_share,vre_new_gw,vre_new_share
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_vestas2_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,14.7,0.04,0.0,133.21,14.15,3.74,0.0,6.03,0.2,7.12,47.18,trd_vestas2_fixed,305.11,76.23,0.19,0.19,0.0,0.62,47.38,0.62
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,66.23,0.04,0.0,133.21,38.64,3.74,0.0,6.03,2.17,7.12,65.87,trd_vestas2_fixed,399.74,172.91,0.38,0.22,0.01,0.38,68.04,0.39
2050,3.37,12.77,0.0,10.49,0.0,7.47,0.12,40.33,158.34,0.04,0.0,133.14,53.32,3.74,0.0,0.0,30.05,0.0,122.88,trd_vestas2_fixed,572.71,364.72,0.43,0.15,0.08,0.34,152.94,0.42
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_vestas7_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,25.21,0.04,0.0,133.21,14.15,3.74,0.0,6.03,9.43,7.12,29.53,trd_vestas7_fixed,307.2,78.32,0.32,0.18,0.12,0.38,38.96,0.5
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,81.27,0.04,0.0,133.21,27.13,3.74,0.0,6.03,23.68,7.12,37.6,trd_vestas7_fixed,396.51,169.68,0.48,0.16,0.14,0.22,61.28,0.36
2050,2.57,12.77,0.0,10.49,0.0,7.47,0.12,40.33,160.77,0.04,0.0,133.14,57.17,3.74,0.0,0.0,95.27,0.0,78.95,trd_vestas7_fixed,600.28,392.3,0.41,0.15,0.24,0.2,174.23,0.44
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_vestas3_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,35.41,0.04,0.0,133.21,14.75,3.74,0.0,6.03,31.68,7.12,5.51,trd_vestas3_fixed,316.24,87.37,0.41,0.17,0.36,0.06,37.2,0.43
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,85.13,0.04,0.0,133.21,26.82,3.74,0.0,6.03,76.03,7.12,9.22,trd_vestas3_fixed,424.03,197.2,0.43,0.14,0.39,0.05,85.25,0.43
2050,2.47,12.77,0.0,10.49,0.0,7.47,0.12,40.33,164.39,0.04,0.0,133.14,57.17,3.74,0.0,0.0,122.8,0.0,50.84,trd_vestas3_fixed,603.31,395.33,0.42,0.14,0.31,0.13,173.64,0.44
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_siemens36_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,27.99,0.04,0.0,133.21,14.15,3.74,0.0,6.03,19.44,7.12,20.8,trd_siemens36_fixed,311.26,82.38,0.34,0.17,0.24,0.25,40.24,0.49
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,82.36,0.04,0.0,133.21,27.13,3.74,0.0,6.03,41.02,7.12,28.95,trd_siemens36_fixed,406.27,179.44,0.46,0.15,0.23,0.16,69.96,0.39
2050,2.36,12.77,0.0,10.49,0.0,7.47,0.12,40.33,161.16,0.04,0.0,133.14,57.17,3.74,0.0,0.0,104.62,0.0,77.51,trd_siemens36_fixed,608.58,400.59,0.4,0.14,0.26,0.19,182.13,0.45
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_siemens23_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,23.37,0.04,0.0,133.21,14.15,3.74,0.0,6.03,5.73,7.12,33.62,trd_siemens23_fixed,305.75,76.87,0.3,0.18,0.07,0.44,39.35,0.51
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,80.85,0.04,0.0,133.21,27.13,3.74,0.0,6.03,21.08,7.12,40.96,trd_siemens23_fixed,396.85,170.02,0.48,0.16,0.12,0.24,62.04,0.36
2050,2.58,12.77,0.0,10.49,0.0,7.47,0.12,40.33,159.9,0.04,0.0,133.14,57.17,3.74,0.0,0.0,88.27,0.0,85.87,trd_siemens23_fixed,599.33,391.34,0.41,0.15,0.23,0.22,174.14,0.44
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_ge25_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,19.93,0.04,0.0,133.21,14.15,3.74,0.0,6.03,1.76,7.12,38.98,trd_ge25_fixed,303.7,74.82,0.27,0.19,0.02,0.52,40.74,0.54
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,66.72,0.04,0.0,133.21,38.58,3.74,0.0,6.03,8.92,7.12,62.44,trd_ge25_fixed,403.49,176.66,0.38,0.22,0.05,0.35,71.36,0.4
2050,3.52,12.77,0.0,10.49,0.0,7.47,0.12,40.33,159.14,0.04,0.0,133.14,53.59,3.74,0.0,0.0,60.49,0.0,113.07,trd_ge25_fixed,594.4,386.42,0.41,0.14,0.16,0.29,173.56,0.45
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_ge15_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,23.53,0.04,0.0,133.21,14.15,3.74,0.0,6.03,2.89,7.12,34.19,trd_ge15_fixed,303.64,74.77,0.31,0.19,0.04,0.46,37.08,0.5
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,80.86,0.04,0.0,133.21,27.13,3.74,0.0,6.03,19.94,7.12,40.94,trd_ge15_fixed,395.69,168.86,0.48,0.16,0.12,0.24,60.88,0.36
2050,2.58,12.77,0.0,10.49,0.0,7.47,0.12,40.33,158.73,0.04,0.0,133.14,57.17,3.74,0.0,0.0,86.43,0.0,95.24,trd_ge15_fixed,605.68,397.7,0.4,0.14,0.22,0.24,181.67,0.46
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_gamesa2_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,33.21,0.04,0.0,133.21,14.15,3.74,0.0,6.03,25.25,7.12,11.82,trd_gamesa2_fixed,313.31,84.43,0.39,0.17,0.3,0.14,37.07,0.44
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,83.78,0.04,0.0,133.21,27.13,3.74,0.0,6.03,62.03,7.12,17.52,trd_gamesa2_fixed,417.29,190.46,0.44,0.14,0.33,0.09,79.55,0.42
2050,2.38,12.77,0.0,10.49,0.0,7.47,0.12,40.33,163.51,0.04,0.0,133.14,57.17,3.74,0.0,0.0,117.06,0.0,58.58,trd_gamesa2_fixed,604.43,396.45,0.41,0.14,0.3,0.15,175.64,0.44
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_enercon7_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,33.72,0.04,0.0,133.21,14.15,3.74,0.0,6.03,27.67,7.12,10.02,trd_enercon7_fixed,314.45,85.57,0.39,0.17,0.32,0.12,37.7,0.44
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,84.32,0.04,0.0,133.21,27.13,3.74,0.0,6.03,69.12,7.12,13.22,trd_enercon7_fixed,420.62,193.79,0.44,0.14,0.36,0.07,82.34,0.42
2050,2.41,12.77,0.0,10.49,0.0,7.47,0.12,40.33,163.71,0.04,0.0,133.14,57.17,3.74,0.0,0.0,117.79,0.0,56.72,trd_enercon7_fixed,603.51,395.53,0.41,0.14,0.3,0.14,174.52,0.44
2020,0.0,14.99,0.0,14.61,0.0,7.47,0.0,42.82,0.0,0.04,0.0,133.21,0.0,3.74,0.0,6.03,0.0,7.12,0.0,trd_enercon3_fixed,230.03,0.0,,,,,0.0,
2030,0.51,14.27,0.0,14.61,0.0,7.47,0.0,42.39,13.75,0.04,0.0,133.21,12.66,3.74,0.0,6.03,0.0,7.12,49.56,trd_enercon3_fixed,304.85,75.97,0.18,0.17,0.0,0.65,49.56,0.65
2040,0.0,13.75,0.0,13.18,0.0,7.47,0.0,42.29,65.83,0.04,0.0,133.21,38.91,3.74,0.0,6.03,0.34,7.12,66.94,trd_enercon3_fixed,398.84,172.01,0.38,0.23,0.0,0.39,67.28,0.39
2050,3.21,12.77,0.0,10.49,0.0,7.47,0.12,40.33,156.61,0.04,0.0,133.14,53.32,3.74,0.0,0.0,24.19,0.0,137.92,trd_enercon3_fixed,580.15,372.17,0.42,0.14,0.06,0.37,162.11,0.44
