sc_id,turbine_name,pv_type,cap_cost_usdkw,cap_mw,hub_ht_m,cutin_speed_ms,rated_speed_ms,cutout_speed_ms,rotor_dia_m
prm15_wcost_re1_c2p1_t1,Vestas V90 2000,1axis,1575,2,100,4,13,25,90
prm15_wcost_re2_c2p1_t1,Vestas V164 7000,1axis,1575,7,100,4,11,25,164
prm15_wcost_re3_c2p1_t1,Vestas V90 3000,1axis,1575,3,100,4,15,25,90
prm15_wcost_re4_c2p1_t1,Siemens SWT 3.6 107,1axis,1263.684211,3.6,90,3,13,25,107
prm15_wcost_re5_c2p1_t1,Siemens SWT 2.3 93,1axis,1263.684211,2.3,80,4,14,25,93
prm15_wcost_re6_c2p1_t1,GE 2.5xl,1axis,1645,2.5,100,3,13,25,100
prm15_wcost_re7_c2p1_t1,GE 1.5sle,1axis,1528.947368,1.5,80,3.5,12,25,77
prm15_wcost_re8_c2p1_t1,Gamesa G80 2000,1axis,1263.684211,2,80,3.5,12,25,80
prm15_wcost_re9_c2p1_t1,Enercon E126 7000,1axis,3684.210526,7,135,3,16.5,34,126
prm15_wcost_re10_c2p1_t1,Enercon E101 3000,1axis,1786.842105,3.05,135,2,13,25,101
prm15_wcost_re11_c2p1_t1,Vestas V90 2000,fixed,1575,2,100,4,13,25,90
prm15_wcost_re12_c2p1_t1,Vestas V164 7000,fixed,1575,7,100,4,11,25,164
prm15_wcost_re13_c2p1_t1,Vestas V90 3000,fixed,1575,3,100,4,15,25,90
prm15_wcost_re14_c2p1_t1,Siemens SWT 3.6 107,fixed,1263.684211,3.6,90,3,13,25,107
prm15_wcost_re15_c2p1_t1,Siemens SWT 2.3 93,fixed,1263.684211,2.3,80,4,14,25,93
prm15_wcost_re16_c2p1_t1,GE 2.5xl,fixed,1645,2.5,100,3,13,25,100
prm15_wcost_re17_c2p1_t1,GE 1.5sle,fixed,1528.947368,1.5,80,3.5,12,25,77
prm15_wcost_re18_c2p1_t1,Gamesa G80 2000,fixed,1263.684211,2,80,3.5,12,25,80
prm15_wcost_re19_c2p1_t1,Enercon E126 7000,fixed,3684.210526,7,135,3,16.5,34,126
prm15_wcost_re20_c2p1_t1,Enercon E101 3000,fixed,1786.842105,3.05,135,2,13,25,101
prm15_wcost_re1_c2p1_co2_cut90p_t1,Vestas V90 2000,1axis,1575,2,100,4,13,25,90
prm15_wcost_re2_c2p1_co2_cut90p_t1,Vestas V164 7000,1axis,1575,7,100,4,11,25,164
prm15_wcost_re3_c2p1_co2_cut90p_t1,Vestas V90 3000,1axis,1575,3,100,4,15,25,90
prm15_wcost_re4_c2p1_co2_cut90p_t1,Siemens SWT 3.6 107,1axis,1263.684211,3.6,90,3,13,25,107
prm15_wcost_re5_c2p1_co2_cut90p_t1,Siemens SWT 2.3 93,1axis,1263.684211,2.3,80,4,14,25,93
prm15_wcost_re6_c2p1_co2_cut90p_t1,GE 2.5xl,1axis,1645,2.5,100,3,13,25,100
prm15_wcost_re7_c2p1_co2_cut90p_t1,GE 1.5sle,1axis,1528.947368,1.5,80,3.5,12,25,77
prm15_wcost_re8_c2p1_co2_cut90p_t1,Gamesa G80 2000,1axis,1263.684211,2,80,3.5,12,25,80
prm15_wcost_re9_c2p1_co2_cut90p_t1,Enercon E126 7000,1axis,3684.210526,7,135,3,16.5,34,126
prm15_wcost_re10_c2p1_co2_cut90p_t1,Enercon E101 3000,1axis,1786.842105,3.05,135,2,13,25,101
prm15_wcost_re11_c2p1_co2_cut90p_t1,Vestas V90 2000,fixed,1575,2,100,4,13,25,90
prm15_wcost_re12_c2p1_co2_cut90p_t1,Vestas V164 7000,fixed,1575,7,100,4,11,25,164
prm15_wcost_re13_c2p1_co2_cut90p_t1,Vestas V90 3000,fixed,1575,3,100,4,15,25,90
prm15_wcost_re14_c2p1_co2_cut90p_t1,Siemens SWT 3.6 107,fixed,1263.684211,3.6,90,3,13,25,107
prm15_wcost_re15_c2p1_co2_cut90p_t1,Siemens SWT 2.3 93,fixed,1263.684211,2.3,80,4,14,25,93
prm15_wcost_re16_c2p1_co2_cut90p_t1,GE 2.5xl,fixed,1645,2.5,100,3,13,25,100
prm15_wcost_re17_c2p1_co2_cut90p_t1,GE 1.5sle,fixed,1528.947368,1.5,80,3.5,12,25,77
prm15_wcost_re18_c2p1_co2_cut90p_t1,Gamesa G80 2000,fixed,1263.684211,2,80,3.5,12,25,80
prm15_wcost_re19_c2p1_co2_cut90p_t1,Enercon E126 7000,fixed,3684.210526,7,135,3,16.5,34,126
prm15_wcost_re20_c2p1_co2_cut90p_t1,Enercon E101 3000,fixed,1786.842105,3.05,135,2,13,25,101
